"date","home.team","away.team","home.score","away.score"
2011-03-12,"Almeria","Ath Madrid",2,2
2011-03-12,"Real Madrid","Hercules",2,0
2011-03-12,"Zaragoza","Valencia",4,0
2011-03-13,"Espanol","La Coruna",2,0
2011-03-13,"Levante","Mallorca",1,1
2011-03-13,"Osasuna","Santander",3,1
2011-03-13,"Sevilla","Barcelona",1,1
2011-03-13,"Sociedad","Malaga",0,2
2011-03-13,"Villarreal","Sp Gijon",1,1
2011-03-14,"Getafe","Ath Bilbao",2,2
2011-03-19,"Ath Madrid","Real Madrid",1,2
2011-03-19,"Barcelona","Getafe",2,1
2011-03-19,"Mallorca","Zaragoza",1,0
2011-03-20,"Ath Bilbao","Villarreal",0,1
2011-03-20,"Hercules","Osasuna",0,4
2011-03-20,"La Coruna","Levante",0,1
2011-03-20,"Malaga","Espanol",2,0
2011-03-20,"Santander","Sociedad",2,1
2011-03-20,"Sp Gijon","Almeria",1,0
2011-03-20,"Valencia","Sevilla",0,1
2011-04-02,"Getafe","Valencia",2,4
2011-04-02,"Real Madrid","Sp Gijon",0,1
2011-04-02,"Villarreal","Barcelona",0,1
2011-04-03,"Espanol","Santander",1,2
2011-04-03,"La Coruna","Mallorca",2,1
2011-04-03,"Levante","Malaga",3,1
2011-04-03,"Osasuna","Ath Madrid",2,3
2011-04-03,"Sevilla","Zaragoza",3,1
2011-04-03,"Sociedad","Hercules",1,3
2011-04-04,"Almeria","Ath Bilbao",1,3
2011-04-09,"Ath Bilbao","Real Madrid",0,3
2011-04-09,"Barcelona","Almeria",3,1
2011-04-09,"Mallorca","Sevilla",2,2
2011-04-10,"Ath Madrid","Sociedad",3,0
2011-04-10,"Hercules","Espanol",0,0
2011-04-10,"Malaga","La Coruna",0,0
2011-04-10,"Santander","Levante",1,1
2011-04-10,"Sp Gijon","Osasuna",1,0
2011-04-10,"Valencia","Villarreal",5,0
2011-04-11,"Zaragoza","Getafe",2,1
2011-04-16,"Almeria","Valencia",0,3
2011-04-16,"Getafe","Sevilla",1,0
2011-04-16,"Malaga","Mallorca",3,0
2011-04-16,"Real Madrid","Barcelona",1,1
2011-04-17,"Espanol","Ath Madrid",2,2
2011-04-17,"La Coruna","Santander",2,0
2011-04-17,"Levante","Hercules",2,1
2011-04-17,"Osasuna","Ath Bilbao",1,2
2011-04-17,"Sociedad","Sp Gijon",2,1
2011-04-18,"Villarreal","Zaragoza",1,0
2011-04-23,"Ath Bilbao","Sociedad",2,1
2011-04-23,"Barcelona","Osasuna",2,0
2011-04-23,"Valencia","Real Madrid",3,6
2011-04-24,"Ath Madrid","Levante",4,1
2011-04-24,"Hercules","La Coruna",1,0
2011-04-24,"Mallorca","Getafe",2,0
2011-04-24,"Santander","Malaga",1,2
2011-04-24,"Sevilla","Villarreal",3,2
2011-04-24,"Sp Gijon","Espanol",1,0
2011-04-25,"Zaragoza","Almeria",1,0
